,Compression Depth,dwt_type,Mean Error,Max Error
0,27,Quantization,0.06233223383118625,0.9996644854545611
1,26,Quantization,0.057835674330491936,0.9816843271255511
2,25,Quantization,0.04293531779934883,0.8646646738052386
3,24,Quantization,0.02612648387243276,0.6321205496788043
4,23,Quantization,0.014328338622946803,0.3934693336486834
5,22,Quantization,0.007487346835334326,0.22119921445846735
6,21,Quantization,0.0038249198793363815,0.1175030469894427
7,20,Quantization,0.001932811176304253,0.06058692932129084
8,19,Quantization,0.0009715050206449909,0.03076672554016291
9,18,Quantization,0.0004870377112110226,0.01550352573394953
10,17,Quantization,0.00024385046948912473,0.007782042026521552
11,16,Quantization,0.00012201885205461577,0.0038986206054705264
12,15,Quantization,6.104323496577289e-05,0.0019512176513689639
13,14,Quantization,3.05404452246237e-05,0.0009760856628435732
14,13,Quantization,1.5285408737263152e-05,0.0004881620407122256
15,12,Quantization,7.656986455849354e-06,0.00024408102035700097
16,11,Quantization,3.842478365122341e-06,0.00012201817207679877
17,10,Quantization,1.935188167344417e-06,6.100722903812361e-05
18,9,Quantization,9.815543234523965e-07,3.0504553061305728e-05
19,8,Quantization,5.047077860851603e-07,1.5251465448895551e-05
20,7,Quantization,2.662928733841147e-07,7.626148605166527e-06
21,6,Quantization,1.4708426595436e-07,3.8128518186075766e-06
22,5,Quantization,8.748613685585618e-08,1.9066929626276874e-06
23,4,Quantization,5.767857421548474e-08,9.533465195055157e-07
24,3,Quantization,4.2777860663560545e-08,4.766736388939208e-07
25,2,Quantization,3.533074040975988e-08,2.3833728379774044e-07
26,1,Quantization,3.160605229626654e-08,1.1916973086112392e-07
27,27,Haar,0.07692040934401838,0.8750419020652789
28,26,Haar,0.05218278741107094,0.7545788884162921
29,25,Haar,0.02965465787446925,0.5676676034927386
30,24,Haar,0.015412690549187081,0.3678794503211993
31,23,Haar,0.007785521891830657,0.2130613327026385
32,22,Haar,0.0039028648605815256,0.11520314216613947
33,21,Haar,0.0019527037680254788,0.059975206851961005
34,20,Haar,0.000976513615996982,0.030609011650087226
35,19,Haar,0.00048827988274633934,0.015463531017305243
36,18,Haar,0.00024414633079541525,0.007771968841554511
37,17,Haar,0.00012207844282583394,0.00389611721038996
38,16,Haar,6.104461475388927e-05,0.0019505620002764346
39,15,Haar,3.052832153181052e-05,0.0009759068489092471
40,14,Haar,1.5270844975169134e-05,0.0004881024360674502
41,13,Haar,7.642743535106174e-06,0.00024408102035700097
42,12,Haar,3.829270172452513e-06,0.00012207031250177636
43,11,Haar,1.923243749934568e-06,6.10426138046849e-05
44,10,Haar,9.708778850381786e-07,3.0534351822875117e-05
45,9,Haar,4.95316359960332e-07,1.528161757424762e-05
46,8,Haar,2.581879597048579e-07,7.65559962301321e-06
47,7,Haar,1.4026154240769993e-07,3.842677939069894e-06
48,6,Haar,8.194197380995773e-08,1.936238919864053e-06
49,5,Haar,5.3401373434076274e-08,9.830248659525864e-07
50,4,Haar,3.974662593783667e-08,5.06419202905839e-07
51,3,Haar,3.349254205622544e-08,2.6811671238746726e-07
52,2,Haar,3.0878646533780914e-08,1.4896555233789854e-07
53,1,Haar,2.9975405630627427e-08,8.938999362939626e-08
54,27,Bior-2.2,0.1279418536953005,0.35679032112228015
55,26,Bior-2.2,0.04880312161460734,0.25325645661000773
56,25,Bior-2.2,0.01232220409304049,0.12669383397384237
57,24,Bior-2.2,0.0024450026306302294,0.04575910582160214
58,23,Bior-2.2,0.0005544458216339735,0.013531148567475282
59,22,Bior-2.2,0.00013184251361191278,0.004169236407121635
60,21,Bior-2.2,3.2139141612115147e-05,0.0011721555293944252
61,20,Bior-2.2,7.942828402211702e-06,0.0003111283804924092
62,19,Bior-2.2,1.9851262823526364e-06,8.013193141931385e-05
63,18,Bior-2.2,5.088901157303558e-07,2.0294391900765874e-05
64,17,Bior-2.2,1.4329619643016673e-07,5.0615264788334e-06
65,16,Bior-2.2,5.3938698743850484e-08,1.21240732853245e-06
66,15,Bior-2.2,3.312999424742258e-08,3.543644486736497e-07
67,14,Bior-2.2,2.9408375788199936e-08,1.7702251253748358e-07
68,13,Bior-2.2,2.931839912337417e-08,1.2983955499645816e-07
69,12,Bior-2.2,2.932071798087132e-08,1.2123744408398807e-07
70,11,Bior-2.2,2.956343694638228e-08,1.193814036515306e-07
71,10,Bior-2.2,2.94922541527818e-08,1.1889699991218805e-07
72,9,Bior-2.2,3.0101465881330633e-08,1.1892246409850316e-07
73,8,Bior-2.2,2.9727568671387465e-08,1.1909287478406583e-07
74,7,Bior-2.2,3.11117666820221e-08,1.1881305495009542e-07
75,6,Bior-2.2,2.9960210102333146e-08,1.1920201359316707e-07
76,5,Bior-2.2,3.326935785964176e-08,1.1843504932329552e-07
77,4,Bior-2.2,2.999805057329091e-08,1.1920883480343036e-07
78,3,Bior-2.2,3.776544015265689e-08,1.190363729808297e-07
79,2,Bior-2.2,2.9501922594622042e-08,1.1920926112907182e-07
80,1,Bior-2.2,4.8825432271798236e-08,0.499999940395357
