,Compression Depth,dwt_type,Mean Error,Max Error
0,27,Quantization,1.9999999718754218,7.99999994039535
1,26,Quantization,0.9999999887837424,4.000126659870142
2,25,Quantization,0.5002728932188663,2.045373533870903
3,24,Quantization,0.2541402908716482,1.1131549572540516
4,23,Quantization,0.1288661374689512,0.5584444167295781
5,22,Quantization,0.06483024685313604,0.28185138723052416
6,21,Quantization,0.0324966116605924,0.14106700441039477
7,20,Quantization,0.0162686358545426,0.07055132576689127
8,19,Quantization,0.008139399360192732,0.0352772969888151
9,18,Quantization,0.00407097244356182,0.017639001551999156
10,17,Quantization,0.00203580674109256,0.008819481078518931
11,16,Quantization,0.0010179861770696652,0.00440973846930004
12,15,Quantization,0.0005090166950944188,0.0022048563024898993
13,14,Quantization,0.00025451735117023206,0.001102430382230457
14,13,Quantization,0.00012726432501221441,0.0005512106711862419
15,12,Quantization,6.363722717691475e-05,0.00027560232383083694
16,11,Quantization,3.182378073003881e-05,0.00013779719296014292
17,10,Quantization,1.591738164047046e-05,6.889461683767806e-05
18,9,Quantization,7.964566167012585e-06,3.444351839565485e-05
19,8,Quantization,3.988623649602911e-06,1.7217871532304585e-05
20,7,Quantization,2.0011787515489795e-06,8.605087511215359e-06
21,6,Quantization,1.0080781052185303e-06,4.298733002450206e-06
22,5,Quantization,5.12281893065631e-07,2.145519248264449e-06
23,4,Quantization,2.6530883589926364e-07,1.0689151004328323e-06
24,3,Quantization,1.4289436777365662e-07,5.30617544347578e-07
25,2,Quantization,8.246505775665184e-08,2.6146589937603437e-07
26,1,Quantization,5.248306456139718e-08,1.268921039354609e-07
27,27,Haar,1.0369239545044893,4.031249999999995
28,26,Haar,0.5270321480189673,2.062365804817406
29,25,Haar,0.25897404306210137,1.0695668553901905
30,24,Haar,0.13041364464500985,0.5575356164421382
31,23,Haar,0.06511068785539624,0.28099254390395556
32,22,Haar,0.03258802623778259,0.14102110883391772
33,21,Haar,0.0162903497384232,0.07054531045949664
34,20,Haar,0.008144672810864766,0.035276820151656896
35,19,Haar,0.004072271773750857,0.017638854487620703
36,18,Haar,0.0020361311767904833,0.008819540683163707
37,17,Haar,0.0010180692308966468,0.004409798073944815
38,16,Haar,0.0005090395515244435,0.002204903054413565
39,15,Haar,0.00025452504290034167,0.0011024603007088185
40,14,Haar,0.00012726789288118663,0.0005512446424862372
41,13,Haar,6.363949360329664e-05,0.0002756356757023237
42,12,Haar,3.182547054892933e-05,0.0001378297369816206
43,11,Haar,1.591866479452015e-05,6.892838942018642e-05
44,10,Haar,7.965467164040688e-06,3.447690474001064e-05
45,9,Haar,3.98910817948649e-06,1.7251586222677417e-05
46,8,Haar,2.0012156206572598e-06,8.638753267842247e-06
47,7,Haar,1.0076070814902596e-06,4.332369894166632e-06
48,6,Haar,5.112381271677177e-07,2.179152152281816e-06
49,5,Haar,2.636165250253893e-07,1.1025508985795796e-06
50,4,Haar,1.4052108576581465e-07,5.642616256462674e-07
51,3,Haar,7.973949573477553e-08,2.951118502902972e-07
52,2,Haar,5.012349585081682e-08,1.6053630247370165e-07
53,1,Haar,3.646410936415978e-08,9.324715821712459e-08
54,27,Bior-2.2,0.0306695778163647,0.09432607889175415
55,26,Bior-2.2,0.015585835439238766,0.12709969282150269
56,25,Bior-2.2,0.016256257007473088,0.12171745300292969
57,24,Bior-2.2,0.004655457678964714,0.05421137809753418
58,23,Bior-2.2,0.0008342481688608716,0.015805423259735107
59,22,Bior-2.2,0.00019484381195126324,0.004103899002075195
60,21,Bior-2.2,4.783923162346522e-05,0.001035660505296217
61,20,Bior-2.2,1.1916285962643787e-05,0.000259518623374728
62,19,Bior-2.2,2.9971830740159688e-06,6.490945836449558e-05
63,18,Bior-2.2,7.744357656394257e-07,1.6222931163500237e-05
64,17,Bior-2.2,2.237307786003177e-07,4.0564760035058205e-06
65,16,Bior-2.2,9.35553173201473e-08,1.0159637667747634e-06
66,15,Bior-2.2,6.555326047761257e-08,2.6227983415672007e-07
67,14,Bior-2.2,6.086817492200075e-08,1.3964700995572343e-07
68,13,Bior-2.2,6.043297685734826e-08,1.3507356255715308e-07
69,12,Bior-2.2,6.040052018763124e-08,1.3455997560640753e-07
70,11,Bior-2.2,6.038777326487683e-08,1.3453526093165635e-07
71,10,Bior-2.2,6.038135946099072e-08,1.3455056779854146e-07
72,9,Bior-2.2,6.036953813173016e-08,1.3452475178254986e-07
73,8,Bior-2.2,6.034363669780247e-08,1.345624316417826e-07
74,7,Bior-2.2,6.031336563720049e-08,1.3451090552507594e-07
75,6,Bior-2.2,6.028327343708943e-08,1.345723907864027e-07
76,5,Bior-2.2,6.026214158113297e-08,1.3432275847158337e-07
77,4,Bior-2.2,6.019987449849881e-08,1.345753208870093e-07
78,3,Bior-2.2,6.019222501413739e-08,1.3447605096139625e-07
79,2,Bior-2.2,6.017681250340007e-08,1.345753208870093e-07
80,1,Bior-2.2,7.479656703269675e-08,3.9999999999999947
