,Compression Depth,dwt_type,Mean Error,Max Error
0,28,Quantization,4.02008933352873,15.99999994039495
1,27,Quantization,2.0194198125194784,8.000001788138938
2,26,Quantization,1.011282695407928,4.002585340251117
3,25,Quantization,0.5064637553965463,2.053453808985578
4,24,Quantization,0.2571451099849736,1.0788605385970562
5,23,Quantization,0.1291642398173889,0.5405806475829571
6,22,Quantization,0.06474382026249864,0.2715541114088238
7,21,Quantization,0.032414866126249504,0.13599861958860981
8,20,Quantization,0.01621804793140856,0.0680251250588857
9,19,Quantization,0.008111556687949842,0.034015072377916455
10,18,Quantization,0.004056409524244719,0.017007721456285596
11,17,Quantization,0.0020283610122529263,0.008503861453600381
12,16,Quantization,0.0010142185991054119,0.004251916135761924
13,15,Quantization,0.0005071181168415585,0.0021259533248874085
14,14,Quantization,0.0002535611824141434,0.001062972316523858
15,13,Quantization,0.00012678155306583197,0.0005314845071298091
16,12,Quantization,6.339193948154625e-05,0.0002657399368959368
17,11,Quantization,3.169781634550065e-05,0.0001328674137535124
18,10,Quantization,1.585149063085363e-05,6.643127782801628e-05
19,9,Quantization,7.929075761201098e-06,3.321296027958276e-05
20,8,Quantization,3.968663004603547e-06,1.6603818434157702e-05
21,7,Quantization,1.9892943024016673e-06,8.299296512470633e-06
22,6,Quantization,1.0005098900475756e-06,4.147009752264452e-06
23,5,Quantization,5.071003564327634e-07,2.0708663761581647e-06
24,4,Quantization,2.6147366029461665e-07,1.0327946891042217e-06
25,3,Quantization,1.3975218519928181e-07,5.137593834803056e-07
26,2,Quantization,7.953009617555744e-08,2.542420025619663e-07
27,1,Quantization,4.9595217415102017e-08,1.2448331232484122e-07
28,28,Haar,2.043603782142278,8.015046119689536
29,27,Haar,1.0309721298498766,4.030090380419879
30,26,Haar,0.5162546421658044,2.0572287499531376
31,25,Haar,0.25893909603252047,1.0449190908622235
32,24,Haar,0.12994509534429804,0.5403844886970013
33,23,Haar,0.06490696971679469,0.2711240467412517
34,22,Haar,0.032458302728341916,0.13591791489958394
35,21,Haar,0.016228120359590356,0.06801660159468281
36,20,Haar,0.008114165750818914,0.034014297517534375
37,19,Haar,0.004057059829508535,0.01700766185164082
38,18,Haar,0.0020285277727703863,0.00850386718153584
39,17,Haar,0.0010142648705269586,0.004251964118547891
40,16,Haar,0.0005071340406148771,0.002125985648699258
41,15,Haar,0.00025356886862747347,0.0010630080356337501
42,14,Haar,0.00012678671057770037,0.0005315170479494036
43,13,Haar,6.339599293775018e-05,0.0002657726020061091
44,12,Haar,3.1701010867320526e-05,0.00013289933083493466
45,11,Haar,1.5853889844343283e-05,6.64635001321745e-05
46,10,Haar,7.930703901493637e-06,3.324510479640885e-05
47,9,Haar,3.969535017502971e-06,1.663619732084065e-05
48,8,Haar,1.9893665999702636e-06,8.3317335057842e-06
49,7,Haar,9.997589676417946e-07,4.1794385605697926e-06
50,6,Haar,5.054891675283944e-07,2.103289613586412e-06
51,5,Haar,2.5896807070243853e-07,1.0652267155020212e-06
52,4,Haar,1.3640223055703165e-07,5.461961825048434e-07
53,3,Haar,7.575979470480316e-08,2.8668038010160046e-07
54,2,Haar,4.609882603988174e-08,1.5692372090647666e-07
55,1,Haar,3.229615514477379e-08,9.204394868511656e-08
56,28,Bior-2.2,0.0418673087783358,0.2047954240342325
57,27,Bior-2.2,0.026940412046801622,0.17455798987380805
58,26,Bior-2.2,0.017647056005512265,0.17325472831726074
59,25,Bior-2.2,0.008667128794563942,0.11656022071838379
60,24,Bior-2.2,0.0018311387148006804,0.04497808218002319
61,23,Bior-2.2,0.00037235513413283754,0.0127711415290878
62,22,Bior-2.2,8.908038645516764e-05,0.003297638893131989
63,21,Bior-2.2,2.2062573231841643e-05,0.0008356916674372439
64,20,Bior-2.2,5.523239581527995e-06,0.00020943450133959624
65,19,Bior-2.2,1.4050125005657751e-06,5.240650559539678e-05
66,18,Bior-2.2,3.798976849570369e-07,1.3099610380082338e-05
67,17,Bior-2.2,1.282605537152262e-07,3.270667392737958e-06
68,16,Bior-2.2,7.025257923899361e-08,8.15679416468762e-07
69,15,Bior-2.2,5.781031049423394e-08,2.085764787551625e-07
70,14,Bior-2.2,5.582505594581042e-08,1.324739713481904e-07
71,13,Bior-2.2,5.5666269320540534e-08,1.2997406395598432e-07
72,12,Bior-2.2,5.569890179333217e-08,1.2973653196191037e-07
73,11,Bior-2.2,5.5704188484743285e-08,1.2972149110446196e-07
74,10,Bior-2.2,5.576289272130844e-08,1.297231475572147e-07
75,9,Bior-2.2,5.5801518065029854e-08,1.2969426910203197e-07
76,8,Bior-2.2,5.5853313824068575e-08,1.297231475572147e-07
77,7,Bior-2.2,5.6000325914578583e-08,1.2969344687085993e-07
78,6,Bior-2.2,5.596395498541369e-08,1.2974928442766043e-07
79,5,Bior-2.2,5.6389603047536925e-08,1.2969344687085993e-07
80,4,Bior-2.2,5.6046992991283316e-08,1.29756225764055e-07
81,3,Bior-2.2,5.719865333023473e-08,1.2954475669957333e-07
82,2,Bior-2.2,5.5938852882958276e-08,1.2975862651032344e-07
83,1,Bior-2.2,7.369963496419579e-08,8.000000894069267
