,Compression Depth,dwt_type,Mean Error,Max Error
0,29,Quantization,0.44992669915130623,0.9696969696422363
1,28,Quantization,0.21215886866023825,0.9411764703819908
2,27,Quantization,0.09759767596894486,0.888888888153029
3,26,Quantization,0.043907398928999586,0.7999999976158142
4,25,Quantization,0.01960778666037012,0.6666666600439282
5,24,Quantization,0.008898474847670848,0.49999998509883836
6,23,Quantization,0.004164225063398939,0.33333330684237905
7,22,Quantization,0.0020039192108386927,0.1999999618530255
8,21,Quantization,0.0009818201663417245,0.11111106401608062
9,20,Quantization,0.0004858246090484836,0.058823476613183656
10,19,Quantization,0.00024162722850141794,0.030302974256051662
11,18,Quantization,0.0001204810024393078,0.015384557599848692
12,17,Quantization,6.0146141860632145e-05,0.0077518793003691355
13,16,Quantization,3.00384478055303e-05,0.0038909914419562597
14,15,Quantization,1.4999860573311254e-05,0.0019492583662934493
15,14,Quantization,7.485047720013906e-06,0.0009755502676942474
16,13,Quantization,3.7297588650678567e-06,0.0004879834012961881
17,12,Quantization,1.8548782939013084e-06,0.00024402145934843134
18,11,Quantization,9.2219793540746e-07,0.0001219958230584961
19,10,Quantization,4.611227766318116e-07,6.097183381403859e-05
20,9,Quantization,2.348472748959512e-07,3.0457045820275752e-05
21,8,Quantization,1.24869419414245e-07,1.5198953406070359e-05
22,7,Quantization,7.215212540419891e-08,7.569732585199773e-06
23,6,Quantization,4.742356133988974e-08,3.7550785201290182e-06
24,5,Quantization,3.623047682507079e-08,1.847740573879264e-06
25,4,Quantization,3.148533012104461e-08,8.940688722702816e-07
26,3,Quantization,2.974241731706104e-08,4.172323393447641e-07
27,2,Quantization,2.9344560887185698e-08,1.7881390235174877e-07
28,1,Quantization,2.9498701072519664e-08,5.9604644535998785e-08
29,29,Haar,0.04313480924169714,0.8907341957092285
30,28,Haar,0.031011756880913306,0.8229241967201233
31,27,Haar,0.02063205136411788,0.7253469824790955
32,26,Haar,0.012602374054561261,0.5976405739784241
33,25,Haar,0.007087848326752116,0.45069384574890137
34,24,Haar,0.003742548730144267,0.3068528175354004
35,23,Haar,0.001908218300011758,0.18906980752944946
36,22,Haar,0.0009595941083753426,0.10742580890655518
37,21,Haar,0.00048052305682884334,0.05773574113845825
38,20,Haar,0.0002403537566506398,0.030006051063537598
39,19,Haar,0.00012018849247790386,0.015306949615478516
40,18,Haar,6.009577625113299e-05,0.007732033729553223
41,17,Haar,3.004822993264629e-05,0.0038860440254211426
42,16,Haar,1.5024459162482628e-05,0.0019480586051940918
43,15,Haar,7.512875313862875e-06,0.0009753108024597168
44,14,Haar,3.7577288996016966e-06,0.00048798322677612305
45,13,Haar,1.8814482517011088e-06,0.0002440810203552246
46,12,Haar,9.456862966891336e-07,0.0001220703125
47,11,Haar,4.804282570080714e-07,6.103515625e-05
48,10,Haar,2.499127253167064e-07,3.053247746742649e-05
49,9,Haar,1.3622518087614196e-07,1.528206857470682e-05
50,8,Haar,8.050461869462993e-08,7.65381738787596e-06
51,7,Haar,5.344366952511343e-08,3.842865045622368e-06
52,6,Haar,4.0482360260590494e-08,1.935516412809868e-06
53,5,Haar,3.440043360898771e-08,9.831368871227042e-07
54,4,Haar,3.1642729327531564e-08,5.063082108014427e-07
55,3,Haar,3.045588020248204e-08,2.6804504404953633e-07
56,2,Haar,2.999268968365665e-08,1.4893826250084174e-07
57,1,Haar,2.984107262690734e-08,8.939545836916807e-08
58,29,Bior-2.2,0.13132266994715888,0.3912320581609793
59,28,Bior-2.2,0.059215284271891315,0.3365582322394889
60,27,Bior-2.2,0.02465891034408447,0.2688292345714195
61,26,Bior-2.2,0.009004243273499964,0.18982057422695842
62,25,Bior-2.2,0.0027316892007143404,0.11225433299062126
63,24,Bior-2.2,0.000671199641187925,0.05329740121303628
64,23,Bior-2.2,0.0001495821157242421,0.02019511600752144
65,22,Bior-2.2,3.464197522369568e-05,0.006363697778459132
66,21,Bior-2.2,8.265786296466158e-06,0.0019032543088283171
67,20,Bior-2.2,2.0271071070814457e-06,0.0005564722635371666
68,19,Bior-2.2,5.172997516010138e-07,0.00015150033852651124
69,18,Bior-2.2,1.4786839229834928e-07,3.9706695836749795e-05
70,17,Bior-2.2,5.7703529698554415e-08,1.027594846025881e-05
71,16,Bior-2.2,3.636548451986857e-08,2.724458670888552e-06
72,15,Bior-2.2,3.2081417845687493e-08,8.142713878722674e-07
73,14,Bior-2.2,3.18679889651247e-08,3.353375757075838e-07
74,13,Bior-2.2,3.196530806235003e-08,2.1752434054000958e-07
75,12,Bior-2.2,3.21018143130974e-08,1.8818258362696128e-07
76,11,Bior-2.2,3.229545086433522e-08,1.81956435141295e-07
77,10,Bior-2.2,3.256471020138431e-08,1.808071118380994e-07
78,9,Bior-2.2,3.295369621145359e-08,1.811199029644328e-07
79,8,Bior-2.2,3.348099097486178e-08,1.8241037325061882e-07
80,7,Bior-2.2,3.4270244581775785e-08,1.833149465557682e-07
81,6,Bior-2.2,3.36948738307324e-08,1.8585143490845724e-07
82,5,Bior-2.2,3.6905117568237895e-08,1.8850858229946255e-07
83,4,Bior-2.2,3.311008089443458e-08,1.9082835145400878e-07
84,3,Bior-2.2,4.2173224130333133e-08,1.991261452394255e-07
85,2,Bior-2.2,3.235290412870352e-08,1.862013598863399e-07
86,1,Bior-2.2,5.316806377843495e-08,0.4923077216374098
