,Compression Depth,dwt_type,Mean Error,Max Error
0,27,Quantization,0.10958854238252673,1.757546439281925
1,26,Quantization,0.1016829846308712,1.7259348179020728
2,25,Quantization,0.07548611740331661,1.5201983596005286
3,24,Quantization,0.04593388492922792,1.111354007832035
4,23,Quantization,0.02519114072184573,0.6917726541676368
5,22,Quantization,0.013163747626650462,0.38889832746170416
6,21,Quantization,0.0067247034863711945,0.20658637534759894
7,20,Quantization,0.0033981193670214625,0.10652001153610602
8,19,Quantization,0.0017080145304234195,0.054092064014896295
9,18,Quantization,0.0008562560657182238,0.02725727807663336
10,17,Quantization,0.00042869981244704497,0.013681843391879939
11,16,Quantization,0.00021450282348352333,0.006854250542148495
12,15,Quantization,0.00010729975893893124,0.0034304405369605063
13,14,Quantization,5.36718695101777e-05,0.0017160321392859458
14,13,Quantization,2.685139462384227e-05,0.0008582020916785238
15,12,Quantization,1.3439612858670987e-05,0.0004291082539404867
16,11,Quantization,6.733257679040064e-06,0.00021453153274908046
17,10,Quantization,3.3799316142145273e-06,0.00010724317215337733
18,9,Quantization,1.7032606237231316e-06,5.359899185552576e-05
19,8,Quantization,8.649097239109174e-07,2.6776901706599984e-05
20,7,Quantization,4.4573464348703544e-07,1.3365856632137092e-05
21,6,Quantization,2.3614660589517954e-07,6.660335479621534e-06
22,5,Quantization,1.313487785901865e-07,3.3075739555653402e-06
23,4,Quantization,7.895409266696809e-08,1.6311955915727623e-06
24,3,Quantization,5.275509414078464e-08,7.930070092073598e-07
25,2,Quantization,3.965562862847283e-08,3.739318065486329e-07
26,1,Quantization,3.3105516620131796e-08,1.6436583467422045e-07
27,27,Haar,0.13523656379034604,1.5384429241337623
28,26,Haar,0.09174445281015546,1.3266525412716712
29,25,Haar,0.052136932002841196,0.9980370546498145
30,24,Haar,0.02709761255880232,0.6467821742215003
31,23,Haar,0.013688008223398032,0.3745908285298194
32,22,Haar,0.006861765709881821,0.20254279624603644
33,21,Haar,0.0034331173780944198,0.10544456493042365
34,20,Haar,0.001716839840235567,0.05381478320740118
35,19,Haar,0.0008584578483451038,0.027186944595798398
36,18,Haar,0.0004292368441957882,0.013664140812381648
37,17,Haar,0.00021462327856717477,0.006849839798435116
38,16,Haar,0.00010731662374900357,0.0034293676533545493
39,15,Haar,5.366374224457497e-05,0.0017157937207068442
40,14,Haar,2.6838112557318893e-05,0.0008581424870337484
41,13,Haar,1.3425900754142238e-05,0.00042916785858526207
42,12,Haar,6.720405670836954e-06,0.00021459113739385585
43,11,Haar,3.3683004384297753e-06,0.00010730277679815272
44,10,Haar,1.6929199731733307e-06,5.365859650030115e-05
45,9,Haar,8.558618685749878e-07,2.682744634005814e-05
46,8,Haar,4.3797961807602814e-07,1.341640126559525e-05
47,7,Haar,2.296814196281553e-07,6.709067365654646e-06
48,6,Haar,1.261656211490779e-07,3.3592025218313697e-06
49,5,Haar,7.50410922285498e-08,1.6834834670210195e-06
50,4,Haar,5.0093582595969104e-08,8.455081817508538e-07
51,3,Haar,3.820872770243504e-08,4.263560436532993e-07
52,2,Haar,3.280348387973826e-08,2.167642242471168e-07
53,1,Haar,3.055010523351382e-08,1.119897934770105e-07
54,27,Bior-2.2,0.2249392138397434,0.6272860187174816
55,26,Bior-2.2,0.08580252651487133,0.4452593719812066
56,25,Bior-2.2,0.021664096391919116,0.22274502993551382
57,24,Bior-2.2,0.0042986433503859126,0.08045074557400489
58,23,Bior-2.2,0.0009747879061977302,0.023789603576624796
59,22,Bior-2.2,0.00023179214188354967,0.007330057629604703
60,21,Bior-2.2,5.649791448527227e-05,0.002060789025660509
61,20,Bior-2.2,1.3955246874911941e-05,0.000546954370334668
62,19,Bior-2.2,3.478549027016238e-06,0.0001408360185102056
63,18,Bior-2.2,8.808969361675824e-07,3.563793011196123e-05
64,17,Bior-2.2,2.3601043236092094e-07,8.862237378190127e-06
65,16,Bior-2.2,7.709254181264762e-08,2.105227775101373e-06
66,15,Bior-2.2,3.9424850057777437e-08,6.235649467518662e-07
67,14,Bior-2.2,3.3035148159131655e-08,3.125929326318463e-07
68,13,Bior-2.2,3.290190573660796e-08,2.3512363328369182e-07
69,12,Bior-2.2,3.293346536855293e-08,2.1546545077655104e-07
70,11,Bior-2.2,3.313662515082318e-08,2.1007970734585296e-07
71,10,Bior-2.2,3.3094737046305655e-08,2.0947596939398195e-07
72,9,Bior-2.2,3.361559801806958e-08,2.0921331941002597e-07
73,8,Bior-2.2,3.329842373293939e-08,2.091931181372967e-07
74,7,Bior-2.2,3.459903172620306e-08,2.0915167481879316e-07
75,6,Bior-2.2,3.347421561178057e-08,2.09306217398373e-07
76,5,Bior-2.2,3.6542918326867e-08,2.090586419601411e-07
77,4,Bior-2.2,3.342044458037889e-08,2.0945977307717904e-07
78,3,Bior-2.2,4.076248753646756e-08,2.090586419601411e-07
79,2,Bior-2.2,3.2874318097978123e-08,2.0945977307717904e-07
80,1,Bior-2.2,5.266881350758968e-08,0.8790680314221229
