,Compression Depth,dwt_type,Mean Error,Max Error
0,28,Quantization,3.9999990612679035,15.999998139832663
1,27,Quantization,1.9999999738467154,8.002680944894003
2,26,Quantization,1.0003407157409667,4.069262031618221
3,25,Quantization,0.5045248870767769,2.1664609807201582
4,24,Quantization,0.25614893393571697,1.0961281989234664
5,23,Quantization,0.12865422787829736,0.5487603677297037
6,22,Quantization,0.06451397459674697,0.2748907936597269
7,21,Quantization,0.03229720105801663,0.13746477494482212
8,20,Quantization,0.016158641314252587,0.0687388947215668
9,19,Quantization,0.008081877253274347,0.0343697441601285
10,18,Quantization,0.004041569900598078,0.017184950211001304
11,17,Quantization,0.002020939504397504,0.008592463829470542
12,16,Quantization,0.0010105055515163483,0.004296221060531291
13,15,Quantization,0.0005052594469896866,0.002148104028877995
14,14,Quantization,0.0002526295023585703,0.0010740535686184494
15,13,Quantization,0.00012631345387097617,0.0005370232133254937
16,12,Quantization,6.31556080694457e-05,0.00026850819380319635
17,11,Quantization,3.157733158164573e-05,0.0001342509024682137
18,10,Quantization,1.5788910572916492e-05,6.712236779371494e-05
19,9,Quantization,7.895457391379742e-06,3.3558204330041974e-05
20,8,Quantization,3.949542909009e-06,1.6776212908187205e-05
21,7,Quantization,1.9774278862777765e-06,8.385121674336915e-06
22,6,Quantization,9.922805431543032e-07,4.189590745884431e-06
23,5,Quantization,5.007059348356637e-07,2.0918195380303928e-06
24,4,Quantization,2.5601149864745526e-07,1.04293393343724e-06
25,3,Quantization,1.3473065782213162e-07,5.184911304745299e-07
26,2,Quantization,7.462972073086123e-08,2.5627066557731837e-07
27,1,Quantization,4.472122451906584e-08,1.2515976832716547e-07
28,28,Haar,2.058909155529269,8.051402258370565
29,27,Haar,1.0416725531974067,4.099748257700069
30,26,Haar,0.5164683288114224,2.110963870830174
31,25,Haar,0.2583103748580427,1.0913875902409822
32,24,Haar,0.1293859185627526,0.5484800542111665
33,23,Haar,0.06466739988795629,0.274724377491514
34,22,Haar,0.0323403295463026,0.1374585164571207
35,21,Haar,0.016169110891150994,0.06873667337040246
36,20,Haar,0.008084432717177105,0.03436958886722863
37,19,Haar,0.004042225494646548,0.017184950211001304
38,18,Haar,0.0020211111462283384,0.008592463829470542
39,17,Haar,0.0010105563905314487,0.00429624531879913
40,16,Haar,0.0005052798036846284,0.0021481292674709884
41,15,Haar,0.00025264175797769266,0.0010740840187377643
42,14,Haar,0.00012632315577352281,0.000537057713366984
43,13,Haar,6.316421252650442e-05,0.000268541994249194
44,12,Haar,3.158511854477473e-05,0.00013428438803098075
45,11,Haar,1.5795939086038302e-05,6.715553076208636e-05
46,10,Haar,7.901745385882394e-06,3.359120820345396e-05
47,9,Haar,3.9550642330937596e-06,1.6808728345196755e-05
48,8,Haar,1.982154269140778e-06,8.417910860814004e-06
49,7,Haar,9.96197632295498e-07,4.222345464821586e-06
50,6,Haar,5.037797384751605e-07,2.1245961070448516e-06
51,5,Haar,2.582336380901e-07,1.075697847685575e-06
52,4,Haar,1.3622414706258702e-07,5.512702432319827e-07
53,3,Haar,7.595138440705667e-08,2.890488093321153e-07
54,2,Haar,4.6706718499759423e-08,1.5793749152948067e-07
55,1,Haar,3.357815815479179e-08,9.238193721117227e-08
56,28,Bior-2.2,0.04728025834311256,0.1561688780784607
57,27,Bior-2.2,0.022465413093658234,0.21016794443130493
58,26,Bior-2.2,0.022423897552254247,0.20910894870758057
59,25,Bior-2.2,0.009144486872824598,0.11418500542640775
60,24,Bior-2.2,0.0016334614381924221,0.03770691156387329
61,23,Bior-2.2,0.00036184763414452784,0.010159134864807129
62,22,Bior-2.2,8.838192009151178e-05,0.002587914466872121
63,21,Bior-2.2,2.1977271677211838e-05,0.0006500184536060161
64,20,Bior-2.2,5.502423714004097e-06,0.00016269087793663317
65,19,Bior-2.2,1.3970483381131053e-06,4.068017016667369e-05
66,18,Bior-2.2,3.773129614166712e-07,1.0168335036006386e-05
67,17,Bior-2.2,1.30352275840001e-07,2.5431392076391557e-06
68,16,Bior-2.2,7.395416840205827e-08,6.380306044120876e-07
69,15,Bior-2.2,6.211949391099967e-08,1.7001892016477171e-07
70,14,Bior-2.2,6.039768913043457e-08,1.3242315111128278e-07
71,13,Bior-2.2,6.026199374171212e-08,1.3119066410993696e-07
72,12,Bior-2.2,6.02477407785213e-08,1.3108600649403002e-07
73,11,Bior-2.2,6.023999981214441e-08,1.310744144333853e-07
74,10,Bior-2.2,6.023315542053554e-08,1.3106677965168956e-07
75,9,Bior-2.2,6.021905225823882e-08,1.3109034835423472e-07
76,8,Bior-2.2,6.020366931669285e-08,1.310910011653732e-07
77,7,Bior-2.2,6.018192089279682e-08,1.3105923635237104e-07
78,6,Bior-2.2,6.015233914264501e-08,1.3110566099427956e-07
79,5,Bior-2.2,6.010933581843457e-08,1.3103463425423456e-07
80,4,Bior-2.2,6.008555606310446e-08,1.3111023200451655e-07
81,3,Bior-2.2,5.99975779369717e-08,1.310507444785003e-07
82,2,Bior-2.2,6.006554631072758e-08,1.3111101315743667e-07
83,1,Bior-2.2,7.478359567471881e-08,7.9999999875766505
