,Compression Depth,dwt_type,Mean Error,Max Error
0,28,Quantization,0.24999996926635598,0.49999992549419403
1,27,Quantization,0.12499999906867726,0.4996646498495517
2,26,Quantization,0.06250001396983927,0.4820138067007065
3,25,Quantization,0.03125002142041957,0.3807970732450485
4,24,Quantization,0.015625025145709546,0.23105858266353607
5,23,Quantization,0.007812527008354875,0.12245933711528778
6,22,Quantization,0.003906277939677414,0.06217651069164276
7,21,Quantization,0.001953153405338749,0.031209394335746765
8,20,Quantization,0.000976591138169389,0.015619918704032898
9,19,Quantization,0.0004883100045847028,0.007811889052391052
10,18,Quantization,0.0002441694377923594,0.0039061754941940308
11,17,Quantization,0.00012209915439619236,0.0019531100988388062
12,16,Quantization,6.106401269810744e-05,0.0009765972696641478
13,15,Quantization,3.054644184906542e-05,0.0004883247117788425
14,14,Quantization,1.5287656424543737e-05,0.0002441851732774003
15,13,Quantization,7.658263712283156e-06,0.0001221149965845436
16,12,Quantization,3.843567356153049e-06,6.10798573090765e-05
17,11,Quantization,1.936219178087851e-06,3.056228130560168e-05
18,10,Quantization,9.825450890552667e-07,1.530349250833396e-05
19,9,Quantization,5.057080445389772e-07,7.674098010057584e-06
20,8,Quantization,2.6728952228083316e-07,3.8594007486514315e-06
21,7,Quantization,1.4808024694090713e-07,1.9520521161719984e-06
22,6,Quantization,8.847560927094306e-08,9.983777998767707e-07
23,5,Quantization,5.867329043596291e-08,5.215406416736457e-07
24,4,Quantization,4.377213279482884e-08,2.8312206257208317e-07
25,3,Quantization,3.632155219790463e-08,1.6391277302130192e-07
26,2,Quantization,3.259626367579936e-08,1.043081283569336e-07
27,1,Quantization,3.073363184924484e-08,7.450580585821598e-08
28,28,Haar,0.0643483199725224,0.4566783159971237
29,27,Haar,0.04984374872262264,0.41339854896068573
30,26,Haar,0.030849783016482127,0.33125071227550507
31,25,Haar,0.01575293139305744,0.21689043939113617
32,24,Haar,0.007830345658521297,0.12011454999446869
33,23,Haar,0.003908503472513068,0.061859652400016785
34,22,Haar,0.0019534089485877208,0.03116898238658905
35,21,Haar,0.0009766009207154622,0.01561485230922699
36,20,Haar,0.0004882898965639658,0.007811233401298523
37,19,Haar,0.00024414681452437014,0.0039061158895492554
38,18,Haar,0.00012207730678301048,0.0019531100988388062
39,17,Haar,6.1043380684145e-05,0.0009766072034835815
40,16,Haar,3.0527079308404923e-05,0.0004883271953019519
41,15,Haar,1.5269604982315833e-05,0.0002441895195486876
42,14,Haar,7.64147815852658e-06,0.00012211920704868762
43,13,Haar,3.828072569732009e-06,6.108651495251305e-05
44,12,Haar,1.9220236193642926e-06,3.056893682751305e-05
45,11,Haar,9.696411727127012e-07,1.531051069458833e-05
46,10,Haar,4.941055291315283e-07,7.681302474138452e-06
47,9,Haar,2.569942476846092e-07,3.866794787643624e-06
48,8,Haar,1.39095577144836e-07,1.9594461548311237e-06
49,7,Haar,8.082506483763136e-08,1.0057957670617235e-06
50,6,Haar,5.238160313415714e-08,5.289825890097966e-07
51,5,Haar,3.8879147237905844e-08,2.9056400990823406e-07
52,4,Haar,3.287986071923518e-08,1.7136072344436926e-07
53,3,Haar,3.062151740614146e-08,1.1175758007908598e-07
54,2,Haar,2.999227679709725e-08,8.195444267666829e-08
55,1,Haar,2.9838915917222084e-08,6.70550270309711e-08
56,28,Bior-2.2,0.17769128627388325,0.34484542755323966
57,27,Bior-2.2,0.08614418060061545,0.2458155627855093
58,26,Bior-2.2,0.022954400807568203,0.12021637323091683
59,25,Bior-2.2,0.003228808477917992,0.029476815465870887
60,24,Bior-2.2,0.0005747902451831746,0.006579120020355211
61,23,Bior-2.2,0.00013004364358411183,0.0019346127994288587
62,22,Bior-2.2,3.1655847108425724e-05,0.0004966949938183252
63,21,Bior-2.2,7.864005374262846e-06,0.00012494221943812334
64,20,Bior-2.2,1.9725557296399573e-06,3.134155069517419e-05
65,19,Bior-2.2,5.054219484491866e-07,7.866819887153431e-06
66,18,Bior-2.2,1.408475228265225e-07,1.99627791924728e-06
67,17,Bior-2.2,5.1666354653909734e-08,5.288282916016129e-07
68,16,Bior-2.2,3.127414331195393e-08,1.6260764199027555e-07
69,15,Bior-2.2,2.7807881451998157e-08,7.294654569278691e-08
70,14,Bior-2.2,2.7535451890418808e-08,6.006648582128478e-08
71,13,Bior-2.2,2.7615679583274098e-08,6.025260768858761e-08
72,12,Bior-2.2,2.7652576513705872e-08,6.052460277405913e-08
73,11,Bior-2.2,2.7907162851516433e-08,6.09082287938989e-08
74,10,Bior-2.2,2.7869438406046175e-08,6.145109920918657e-08
75,9,Bior-2.2,2.8504756662970684e-08,6.222193876407938e-08
76,8,Bior-2.2,2.8183260990176025e-08,6.3283554814031e-08
77,7,Bior-2.2,2.9656672308037074e-08,6.484633525550394e-08
78,6,Bior-2.2,2.8564834247996134e-08,6.67008192012375e-08
79,5,Bior-2.2,3.2106700836335736e-08,7.01113670453779e-08
80,4,Bior-2.2,2.883810539461255e-08,7.170365548536672e-08
81,3,Bior-2.2,3.712240758443786e-08,8.065313616967273e-08
82,2,Bior-2.2,2.849576735991184e-08,6.705169153242707e-08
83,1,Bior-2.2,4.830091943090394e-08,0.49999994706947604
