,Compression Depth,dwt_type,Mean Error,Max Error
0,28,Quantization,3.7048305764220815,15.306852930070576
1,27,Quantization,1.877949674370177,7.99966465759438
2,26,Quantization,0.960137908103347,3.999993913652119
3,25,Quantization,0.48958981478441016,1.999999278070149
4,24,Quantization,0.24739585140574277,0.9999997549073072
5,23,Quantization,0.12434897454309722,0.49999987411659674
6,22,Quantization,0.06233725393045172,0.24999994712055162
7,21,Quantization,0.03120932610559725,0.12499997182479738
8,20,Quantization,0.015614843683722162,0.06249998538432777
9,19,Quantization,0.0078099726125921655,0.031249993325886294
10,18,Quantization,0.0039056299612249433,0.015624996898134569
11,17,Quantization,0.001952981274514249,0.007812498726561756
12,16,Quantization,0.0009765379255961197,0.003906249188148081
13,15,Quantization,0.0004882863469512727,0.001953124651542737
14,14,Quantization,0.00024415310704825155,0.0009765622916386718
15,13,Quantization,0.0001220846135376539,0.0004882811339204096
16,12,Quantization,6.104988747864715e-05,0.00024414056708543797
17,11,Quantization,3.0532428952200716e-05,0.00012207028367861028
18,10,Quantization,1.5273655123736978e-05,6.103514421873513e-05
19,9,Quantization,7.644253998650493e-06,3.051757154892698e-05
20,8,Quantization,3.829545705402187e-06,1.5258785703409217e-05
21,7,Quantization,1.9221925819596147e-06,7.62939299114862e-06
22,6,Quantization,9.68511018017451e-07,3.814696635018322e-06
23,5,Quantization,4.91674108504288e-07,1.9073482295794975e-06
24,4,Quantization,2.5325741056461613e-07,9.536741405469229e-07
25,3,Quantization,1.3405077045006174e-07,4.768370960306356e-07
26,2,Quantization,7.444724699992541e-08,2.3841854535078255e-07
27,1,Quantization,4.464447919075268e-08,1.1920927001085602e-07
28,28,Haar,2.0130976338986635,7.948595934392628
29,27,Haar,1.0061907034337771,3.9999582104698987
30,26,Haar,0.5014708839639067,1.9999986224190565
31,25,Haar,0.2502110649686333,0.9999997549073072
32,24,Haar,0.12502693945712795,0.4999999337212415
33,23,Haar,0.06250338476547329,0.2499999933258863
34,22,Haar,0.03125042438491076,0.1249999933258863
35,21,Haar,0.015625054314422623,0.06250000830976887
36,20,Haar,0.007812508724382796,0.031250018691441284
37,19,Haar,0.003906253527715935,0.015625025288732886
38,18,Haar,0.0019531283812083324,0.00781252816991973
39,17,Haar,0.0009765666273968546,0.003906278715405165
40,16,Haar,0.0004882859848379807,0.001953154294366044
41,15,Haar,0.0002441460090606674,0.0009765920846955822
42,14,Haar,0.00012207631205826127,0.0004883108396960267
43,13,Haar,6.104183058299743e-05,0.00024417035507262597
44,12,Haar,3.052488682497637e-05,0.00012210007893997954
45,11,Haar,1.526675359842087e-05,6.106494087632086e-05
46,10,Haar,7.638002816063865e-06,3.054737184449152e-05
47,9,Haar,3.823962921045697e-06,1.528858732946503e-05
48,8,Haar,1.917276273605624e-06,7.659195071951785e-06
49,7,Haar,9.642882491338186e-07,3.844498943195163e-06
50,6,Haar,4.881734200823864e-07,1.9371503103826626e-06
51,5,Haar,2.505469734881639e-07,9.834763847749173e-07
52,4,Haar,1.322599654351704e-07,5.066394042074762e-07
53,3,Haar,7.382711026625417e-08,2.682208464221958e-07
54,2,Haar,4.56631179129604e-08,1.4901157108226926e-07
55,1,Haar,3.326974821437049e-08,8.94069476231607e-08
56,28,Bior-2.2,0.0814517264628669,0.4627677779224636
57,27,Bior-2.2,0.06411099970879217,0.3350539188411953
58,26,Bior-2.2,0.023918405750929843,0.18377661514551658
59,25,Bior-2.2,0.004750130681877104,0.06903201151163596
60,24,Bior-2.2,0.0010280318176853407,0.019825069191769962
61,23,Bior-2.2,0.0002518805236723169,0.005143700125527562
62,22,Bior-2.2,6.274238757210056e-05,0.0012980084446353457
63,21,Bior-2.2,1.5692560042997957e-05,0.0003252606419009707
64,20,Bior-2.2,3.9468464493214984e-06,8.13584355280339e-05
65,19,Bior-2.2,1.0147790959748613e-06,2.0332281585155876e-05
66,18,Bior-2.2,2.853412733076727e-07,5.08420393996456e-06
67,17,Bior-2.2,1.064148178806486e-07,1.271561809068622e-06
68,16,Bior-2.2,6.481981390265099e-08,3.2063000898752136e-07
69,15,Bior-2.2,5.6822842689319053e-08,1.2167112828365134e-07
70,14,Bior-2.2,5.591815416593909e-08,1.1920901776818482e-07
71,13,Bior-2.2,5.586903878931205e-08,1.1920618270266914e-07
72,12,Bior-2.2,5.5839997143011605e-08,1.1920901776818482e-07
73,11,Bior-2.2,5.5826348654567545e-08,1.191962937241442e-07
74,10,Bior-2.2,5.580287047495082e-08,1.1920919185115508e-07
75,9,Bior-2.2,5.5778599284433916e-08,1.191974252634509e-07
76,8,Bior-2.2,5.5732906851691605e-08,1.1920919185115508e-07
77,7,Bior-2.2,5.564424936569595e-08,1.1918179332326417e-07
78,6,Bior-2.2,5.5615201005980555e-08,1.1920919185115508e-07
79,5,Bior-2.2,5.545324033146231e-08,1.1919371267765655e-07
80,4,Bior-2.2,5.546289593038957e-08,1.1920924514186026e-07
81,3,Bior-2.2,5.5186737269467785e-08,1.1919259002013405e-07
82,2,Bior-2.2,5.541761242703359e-08,1.192092735635697e-07
83,1,Bior-2.2,6.979541516617034e-08,7.999999993325886
